1,Estados Unidos
7,Azajstán (República De)
10,Puerto Rico
11,Trinidad Y Tabago
12,Bahamas (Commonwealth De Las)
13,Barbados
14,Bermudas
15,Caimanes (Islas)
16,Canadá
17,Dominica (Commonwealth De)
18,Dominicana (República)
19,Jamaica
20,Egipto (República Árabe De)
27,Sudafricana (República)
30,Grecia
31,Países Bajos (Reino De Los)
32,Bélgica
33,Francia
34,España
36,Hungría (República De)
39,Italia
40,Rumania
41,Suiza (Confederación)
43,Austria
44,Reino Unido De Gran Bretaña E Irlanda Del Norte
45,Dinamarca
46,Suecia
47,Noruega
48,Polonia (República De)
49,Alemania (República Federal De)
51,Perú
52,Mexico
53,Cuba
54,Argentina (República)
55,Brasil (República Federativa Del)
56,Chile
57,Colombia
58,Venezuela (República Bolivariana De)
60,Malasia
61,Australia
62,Indonesia (República De)
63,Filipinas (República De)
64,Nueva Zelandia
65,Singapur (República De)
66,Tailandia
81,Japón
82,Corea (República De)
84,Viet Nam (República Socialista De)
86,China (República Popular De)
90,Turquía
91,India (República De La)
92,Pakistán (República Islámica Del)
93,Afganistán
94,Sri Lanka (República Socialista Democrática De)
95,Myanmar (Unión De)
98,Irán (República Islámica Del)
212,Marruecos (Reino De)
213,Argelia (República Argelina Democrática Y Popular)
216,Túnez
218,Libia (Jamahiriya Árabe Libia Popular Y Socialista
220,Gambia (República De)
221,Senegal (República Del)
222,Mauritania (República Islámica De)
223,Malí (República De)
224,Guinea (República De)
226,Burkina Faso
227,Níger (República Del)
228,Togolesa (República)
229,Benin (República De)
230,Mauricio (República De)
231,Liberia (República De)
232,Sierra Leona
233,Ghana
234,Nigeria (República Federal De)
235,Chad (República Del)
236,Centroafricana (República)
237,Camerún (República De)
238,Cabo Verde (República De)
239,Santo Tomé Y Príncipe (República Democrática De)
240,Guinea Ecuatorial (República De)
241,Gabonesa (República)
242,Congo (República Del)
243,República Democrática Del Congo
244,Angola (República De)
245,Guinea-Bissau (República De)
246,Diego García
247,Ascensión
248,Seychelles (República De)
249,Sudán (República Del)
250,Rwanda (República De)
251,Etiopía (República Democrática Federal De)
252,Somalí (República Democrática)
253,Djibouti (República De)
254,Kenya (República De)
255,Tanzanía (República Unida De)
256,Uganda (República De)
257,Burundi (República De)
258,Mozambique (República De)
259,Indicativo De Reserva
260,Zambia (República De)
261,Madagascar (República De)
263,Zimbabwe (República De)
264,Namibia (República De)
265,Malawi
266,Lesotho (Reino De)
267,Botswana (República De)
268,Swazilandia (Reino De)
269,Comoras (Unión De Las)
290,Santa Elena
291,Eritrea
297,Aruba
298,Feroe (Islas)
299,Groenlandia (Dinamarca)
350,Gibraltar
351,Portugal
352,Luxemburgo
353,Irlanda
354,Islandia
355,Albania (República De)
356,Malta
357,Chipre (República De)
358,Finlandia
359,Bulgaria (República De)
370,Lituania (República De)
371,Letonia (República De)
372,Estonia (República De)
373,Moldova (República De)
374,Armenia (República De)
375,Belarús (República De)
376,Andorra (Principado De)
377,Mónaco (Principado De)
378,San Marino (República De)
379,Ciudad Del Vaticano (Estado De La)
380,Ucrania
381,Serbia (República De)
382,Montenegro (República De)
385,Croacia (República De)
386,Eslovenia (República De)
387,Bosnia Y Herzegovina
389,La Ex República Yugoslava De Macedonia
420,República Checa
421,República Eslovaca
423,Liechtenstein (Principado De)
500,Malvinas (Islas) (Falkland)
501,Belice
502,Guatemala (República De)
503,El Salvador (República De)
504,Honduras (República De)
505,Nicaragua
506,Costa Rica
507,Panamá (República De)
509,Haití (República De)
590,Guadalupe (Departamento Francés De La)
591,Bolivia (República De)
592,Guyana
593,Ecuador
594,Guayana Francesa (Departamento Francés De La)
595,Paraguay (República Del)
596,Martinica (Departamento Francés De La)
597,Suriname (República De)
598,Uruguay (República Oriental Del)
599,Antillas Neerlandesas
670,República Democrática De Timor-Leste
672,Territorios Exteriores De Australia
673,Brunei Darussalam
674,Nauru (República De)
675,Papua Nueva Guinea
676,Tonga (Reino De)
677,Salomón (Islas)
678,Vanuatu (República De)
679,Fiji (República De)
680,Palau (República De)
681,Wallis Y Futuna (Territorio Francés De Ultramar)
682,Cook (Islas)
683,Niue
685,Samoa (Estado Independiente De)
686,Kiribati (República De)
687,Nueva Caledonia (Territorio Francés De Ultramar)
688,Tuvalu
689,Polinesia Francesa (Territorio Francés De Ultramar
690,Tokelau
691,Micronesia (Estados Federados De)
692,Marshall (República De Las Islas)
850,República Popular Democrática De Corea
852,Hong Kong, China
853,Macao, China
855,Camboya (Reino De)
856,Lao (República Democrática Popular)
880,Bangladesh (República Popular De)
886,Taiwán, China
960,Maldivas (República De)
961,Líbano
962,Jordania (Reino Hachemita De)
963,República Árabe Siria
964,Iraq (República Del)
965,Kuwait (Estado De)
966,Arabia Saudita (Reino De)
967,Yemen (República Del)
968,Omán (Sultanía De)
971,Emiratos Árabes Unidos
972,Israel (Estado De)
973,Bahrein (Reino De)
974,Qatar (Estado De)
975,Bhután (Reino De)
976,Mongolia
977,Nepal
992,Tayikistán (República De)
993,Turkmenistán
994,Azerbaiyana (República)
995,Georgia
996,República Kirguisa
998,Uzbekistán (República De)
